iter	Passed	Remaining
407	8016	1807
408	8037	1788
409	8057	1768
410	8077	1749
411	8098	1729
412	8118	1710
413	8140	1690
414	8162	1671
415	8184	1652
416	8204	1633
417	8225	1613
418	8244	1593
419	8264	1574
420	8285	1554
421	8305	1535
422	8325	1515
423	8345	1495
424	8365	1476
425	8386	1456
426	8408	1437
427	8427	1417
428	8448	1398
429	8469	1378
430	8489	1359
431	8509	1339
432	8529	1319
433	8548	1300
434	8568	1280
435	8588	1260
436	8608	1241
437	8628	1221
438	8648	1201
439	8669	1182
440	8689	1162
441	8709	1142
442	8730	1123
443	8751	1103
444	8770	1083
445	8790	1064
446	8811	1044
447	8831	1025
448	8850	1005
449	8870	985
450	8890	965
451	8911	946
452	8933	926
453	8953	907
454	8973	887
455	8993	867
456	9012	848
457	9033	828
458	9054	808
459	9074	789
460	9093	769
461	9113	749
462	9133	729
463	9154	710
464	9174	690
465	9195	670
466	9216	651
467	9236	631
468	9257	611
469	9278	592
470	9297	572
471	9317	552
472	9338	533
473	9359	513
474	9379	493
475	9399	473
476	9419	454
477	9440	434
478	9460	414
479	9480	395
480	9500	375
481	9520	355
482	9540	335
483	9560	316
484	9580	296
485	9599	276
486	9621	256
487	9641	237
488	9662	217
489	9681	197
490	9702	177
491	9722	158
492	9745	138
493	9764	118
494	9786	98
495	9808	79
496	9827	59
497	9849	39
498	9868	19
499	9886	0
