iter	RMSE
0	5.532831202
1	5.376522147
2	5.199628471
3	5.031995542
4	4.872076434
5	4.711082706
6	4.540518005
7	4.386440045
8	4.255710264
9	4.119639393
10	3.989442004
11	3.857853161
12	3.72675341
13	3.619440358
14	3.514923117
15	3.394076546
16	3.287903108
17	3.175905293
18	3.060450772
19	2.951497551
20	2.870681134
21	2.769231408
22	2.680287073
23	2.605238425
24	2.515329397
25	2.431180903
26	2.349336781
27	2.279152662
28	2.209566926
29	2.133043864
30	2.064065285
31	1.995109235
32	1.924879052
33	1.855944666
34	1.793073435
35	1.730812977
36	1.677978797
37	1.621186232
38	1.574876429
39	1.53107289
40	1.479863217
41	1.438258902
42	1.38977478
43	1.342512596
44	1.305819583
45	1.273733075
46	1.233863418
47	1.197795884
48	1.163710598
49	1.131448443
50	1.086545562
51	1.050399245
52	1.018462568
53	0.9858567374
54	0.9609416419
55	0.9318624487
56	0.9027744333
57	0.8747572672
58	0.8502596184
59	0.822582442
60	0.7986110214
61	0.7762482682
62	0.7540297493
63	0.7324339231
64	0.7088577051
65	0.6874614681
66	0.6665020534
67	0.6447115216
68	0.6239989235
69	0.6050167366
70	0.5875361411
71	0.5728115272
72	0.556301914
73	0.5390230451
74	0.5246774983
75	0.5091727525
76	0.4945633442
77	0.4822424331
78	0.4695071443
79	0.4580241359
80	0.445257635
81	0.432137793
82	0.4207928382
83	0.4085122294
84	0.3975433653
85	0.3861161315
86	0.3759853728
87	0.3660791121
88	0.3554483805
89	0.3461900657
90	0.3381161364
91	0.3295995413
92	0.3210006265
93	0.3134757321
94	0.3064747597
95	0.2999087008
96	0.2935685353
97	0.2865957785
98	0.2805037527
99	0.2746895243
100	0.2670981473
101	0.2611759758
102	0.2560076778
103	0.2495341609
104	0.2446403297
105	0.2401510924
106	0.2347304762
107	0.2292520772
108	0.2250172972
109	0.2208396053
110	0.2166423185
111	0.2116519072
112	0.2074735632
113	0.203597864
114	0.1997743097
115	0.196094043
116	0.1922192817
117	0.1889378767
118	0.1854837638
119	0.1820292754
120	0.1787227741
121	0.1754894648
122	0.1723570817
123	0.169555013
124	0.1665485768
125	0.1638294676
126	0.1610988291
127	0.1584304156
128	0.1559769778
129	0.1534924275
130	0.1513680104
131	0.1489333941
132	0.1465472147
133	0.1442958951
134	0.1420054869
135	0.1398956252
136	0.1379086664
137	0.1357740204
138	0.1339545733
139	0.1320086113
140	0.129915522
141	0.1280478671
142	0.1260109291
143	0.1243741161
144	0.122615108
145	0.1207540378
146	0.118730581
147	0.1168074533
148	0.1149617522
